index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
45,3,20,120,-3.0,0.1,5,0.8938994537281566
46,8,60,90,-2.0,0.5,2,0.9218325434987831
47,6,60,120,-2.0,0.5,2,0.8397855744290156
48,8,30,140,-2.0,0.1,2,0.8417510811701604
49,4,40,120,-2.0,1.0,5,0.9060300178168423
50,10,30,110,-3.0,1.0,5,0.7082572338452707
51,9,40,120,-2.0,0.1,4,0.8927145632570201
52,10,20,110,-2.0,0.1,5,0.8682690609784339
53,5,60,150,-3.0,0.5,3,0.8255613141181865
54,2,20,90,-3.0,1.0,5,0.8254245521992507
55,10,60,90,-3.0,1.0,3,0.8397468540949367
56,6,50,100,-2.0,0.1,2,0.8783137440344524
58,9,20,140,-2.0,0.1,3,0.8518678889013422
59,10,50,120,-3.0,0.1,3,0.8342049800750999
60,9,60,120,-3.0,0.1,3,0.835788267045924
61,5,30,100,-3.0,0.5,4,0.8625169483621056
62,6,50,100,-2.0,1.0,2,0.9320708627153906
63,5,30,130,-2.0,1.0,2,0.9529120523222617
64,9,60,100,-3.0,0.1,2,0.8028218454873952
65,8,30,110,-3.0,0.1,4,0.8642131493986813
66,9,50,90,-2.0,0.5,4,0.9157328876146007
67,6,40,100,-2.0,0.1,3,0.8715595355180892
68,8,40,120,-3.0,0.5,5,0.8079473516896525
69,2,50,150,-2.0,0.5,5,0.8479275446580987
70,8,50,90,-3.0,0.5,2,0.8493907043380922
71,7,60,150,-3.0,0.5,5,0.8608055017408729
72,7,60,110,-3.0,0.1,3,0.8599597849873857
73,2,20,100,-3.0,0.1,5,0.8500515501944591
74,5,50,130,-2.0,1.0,3,0.8699409738014503
75,5,30,130,-2.0,0.1,5,0.8134886029491415
76,5,20,120,-3.0,0.1,4,0.8659800464482573
77,4,30,130,-2.0,1.0,5,0.8533039889878128
78,2,40,90,-3.0,1.0,5,0.8523368865376884
79,9,50,90,-3.0,0.1,5,0.8658568219690841
80,5,30,130,-3.0,0.5,5,0.8905039351014106
81,8,60,130,-3.0,1.0,4,0.8642904343390096
82,7,20,150,-2.0,0.5,2,0.9488315803133791
84,6,30,150,-3.0,0.5,5,0.8903036445754495
85,2,20,120,-3.0,0.5,5,0.6883499585121986
86,5,30,120,-3.0,0.1,4,0.8397212915995811
87,6,40,100,-2.0,0.5,4,0.8745847691365691
88,6,20,90,-2.0,0.1,5,0.8228654474444651
89,3,40,150,-3.0,0.1,5,0.8814354950341856
91,8,20,150,-3.0,0.1,5,0.8405404586584748
92,6,40,90,-3.0,0.5,3,0.841151190914643
93,10,60,90,-2.0,1.0,3,0.490073378377774
94,5,60,100,-3.0,0.5,3,0.8371698861690321
95,5,20,130,-2.0,0.5,5,0.7631335975741562
96,2,20,100,-2.0,0.1,5,0.7758065597933869
97,10,20,120,-2.0,1.0,5,0.8085163172625345
98,2,30,120,-3.0,0.1,5,0.7592343929699783
99,10,20,150,-2.0,0.5,4,0.6244871006184726
100,5,60,110,-3.0,1.0,4,0.8463975739845586
101,3,50,150,-2.0,1.0,5,0.8826269268595963
102,4,50,110,-3.0,1.0,4,0.8637905515497906
103,7,30,100,-3.0,0.5,2,0.9571839922639679
104,2,30,110,-2.0,1.0,5,0.767302077830817
105,4,20,120,-2.0,0.5,5,0.6994337980049805
106,2,50,100,-3.0,0.5,5,0.8113789648912051
107,5,40,140,-2.0,0.5,2,0.9455975385971345
108,8,60,130,-2.0,0.1,2,0.8831335406879866
109,9,50,140,-3.0,0.1,5,0.8455854467318853
110,9,50,120,-2.0,0.5,3,0.9104136478131436
111,4,50,140,-2.0,0.1,4,0.8600722873255047
112,2,50,120,-3.0,1.0,5,0.7787052756216577
113,7,60,130,-3.0,0.1,3,0.8545995706761671
114,9,50,130,-3.0,0.5,4,0.8837624376440897
115,3,20,150,-3.0,0.1,5,0.8722573464742792
116,7,40,100,-2.0,1.0,2,0.8739331313863148
118,8,30,130,-3.0,1.0,2,0.9662136162165252
119,7,20,130,-2.0,1.0,5,0.7590406366125336
120,3,60,120,-3.0,1.0,3,0.8243977042849746
121,5,30,120,-3.0,1.0,4,0.9090562242972211
123,10,30,130,-3.0,1.0,5,0.8010396819017127
124,3,30,150,-2.0,1.0,2,0.9529120523222617
125,9,20,120,-3.0,0.5,4,0.818588203055922
126,3,50,130,-3.0,1.0,3,0.8644435096229702
127,7,40,140,-3.0,0.1,5,0.8659432393739932
128,3,50,100,-2.0,0.1,5,0.8708787640904014
129,6,60,110,-2.0,0.5,2,0.6662400831824159
130,5,50,120,-3.0,1.0,5,0.8720041503641506
131,5,40,130,-2.0,0.5,5,0.7725600265256994
132,3,20,150,-3.0,0.5,5,0.904700559559183
133,6,20,100,-2.0,0.1,5,0.8579802266854
135,9,30,150,-3.0,1.0,5,0.8657219848854982
136,10,20,120,-3.0,0.1,5,0.9093021870919349
137,8,40,150,-3.0,0.5,4,0.8532051048728788
138,8,40,130,-3.0,1.0,2,0.8784029550226282
139,8,60,90,-3.0,0.1,3,0.89991365354526
141,2,50,130,-2.0,0.5,5,0.6988780341666625
142,9,30,90,-3.0,0.5,4,0.8592577226511076
143,9,20,130,-3.0,0.5,4,0.9280996345325018
144,4,30,110,-2.0,0.1,4,0.851486211121629
145,4,60,110,-3.0,0.5,4,0.8769490175826781
146,7,30,110,-2.0,0.1,3,0.8952780471277226
147,4,30,90,-3.0,0.5,2,0.8556081759584632
148,3,30,140,-2.0,0.5,4,0.5693111783787841
149,2,40,130,-3.0,1.0,5,0.6806215095698418
150,5,40,140,-2.0,0.1,2,0.8901128558842648
151,4,60,90,-2.0,0.1,4,0.8504779859352164
152,3,20,150,-2.0,0.1,3,0.7790956899815527
153,7,50,140,-3.0,0.1,4,0.8510575680174074
155,10,40,90,-2.0,0.1,4,0.8060376288311759
156,4,50,130,-2.0,0.5,4,0.8593354662577154
157,9,40,90,-3.0,0.5,5,0.8711945547990877
158,9,20,110,-3.0,1.0,4,0.8574061655424959
159,6,30,110,-2.0,0.1,3,0.8742834597054536
160,2,20,100,-2.0,0.5,5,0.8533461448587798
161,8,40,100,-3.0,1.0,2,0.908617820408899
162,6,60,130,-3.0,0.5,3,0.837112231243309
163,4,20,120,-3.0,0.5,3,0.8184553450558542
164,4,50,110,-2.0,0.1,4,0.7178533680276795
165,3,40,90,-2.0,1.0,4,0.8776642328974458
166,5,50,90,-2.0,0.5,3,0.7271901943235539
167,9,60,130,-3.0,0.5,2,0.7106262619675409
168,10,60,120,-3.0,0.1,2,0.8701038031086259
170,8,30,150,-3.0,0.5,3,0.8690559393784281
171,4,30,100,-2.0,0.5,5,0.8996932532896185
172,5,20,100,-3.0,0.1,2,0.9108278090860693
173,3,20,110,-3.0,0.1,5,0.8969076668785376
174,2,30,90,-2.0,0.1,2,0.9407997573078051
175,2,40,120,-3.0,0.5,5,0.8497467277812643
176,5,30,130,-2.0,0.5,5,0.8252773873727122
177,2,30,100,-3.0,0.5,4,0.899277569415138
178,9,20,100,-2.0,0.1,5,0.7536720376725257
179,5,30,120,-3.0,0.5,4,0.8963328000590326
180,5,30,140,-2.0,0.1,2,0.8812776821784694
181,8,50,90,-2.0,0.5,2,0.8512106549871327
182,4,60,130,-3.0,0.1,4,0.8828378375459482
183,6,30,120,-3.0,0.1,5,0.8826582469347757
184,10,60,110,-3.0,1.0,3,0.8485278137485985
185,3,40,140,-2.0,0.1,3,0.8663174552700047
186,5,50,150,-3.0,0.5,3,0.8791822898980381
187,4,50,150,-2.0,0.1,4,0.8536670670342471
188,9,30,100,-2.0,0.5,3,0.9217056665490424
189,5,60,90,-3.0,0.1,3,0.8506097875791495
190,3,60,120,-2.0,0.1,3,0.8427114279743522
191,4,30,90,-3.0,1.0,5,0.9305106878767592
192,10,60,100,-2.0,0.5,3,0.8669875677304255
193,8,60,130,-3.0,0.5,5,0.852455388686032
194,6,60,120,-3.0,1.0,5,0.8742847007438834
195,3,20,110,-3.0,1.0,5,0.8481863684548359
196,5,50,90,-3.0,0.1,2,0.8985548714362603
197,4,40,110,-2.0,0.1,5,0.8424065313211198
198,6,40,90,-3.0,0.1,3,0.7719128656746008
199,6,20,120,-3.0,0.1,2,0.8828082964920919
200,7,50,100,-3.0,1.0,5,0.8029112110321373
201,3,50,110,-2.0,1.0,5,0.6322874832790437
202,6,30,130,-2.0,0.1,2,0.8673170258872547
203,10,40,130,-3.0,0.1,3,0.8364553549906395
204,9,30,150,-3.0,0.1,3,0.8529034659138638
205,3,20,100,-3.0,0.5,5,0.9261762910428801
206,9,30,140,-2.0,0.1,4,0.9156772229113095
207,5,50,120,-2.0,0.5,3,0.8543491256972222
208,8,60,90,-2.0,0.1,2,0.8715224556962684
209,2,50,120,-3.0,0.1,5,0.8028573678335637
210,3,40,110,-3.0,0.5,5,0.8793402728035651
211,10,50,140,-2.0,0.5,4,0.8197310575794514
212,9,20,120,-2.0,0.5,2,0.9616966283157876
213,5,40,90,-2.0,0.5,4,0.8103812377952258
214,10,40,100,-2.0,1.0,5,0.8693895623450363
215,10,40,120,-3.0,0.1,3,0.8361068722979621
216,10,20,140,-2.0,0.1,5,0.8015089130875586
217,9,60,110,-3.0,0.1,3,0.8051267560980084
218,10,20,100,-2.0,0.5,5,0.4536934384644141
219,6,60,100,-2.0,0.1,3,0.744095825554107
220,5,30,100,-3.0,1.0,4,0.8712426930024784
221,8,60,110,-3.0,1.0,4,0.862389365223091
222,5,30,110,-3.0,0.5,4,0.871764542740981
223,2,30,140,-2.0,0.1,5,0.8329892763008384
224,7,50,120,-3.0,0.5,3,0.8452300278074514
225,6,50,100,-2.0,0.5,4,0.868664606566197
226,5,30,140,-2.0,0.5,5,0.8395512748947617
227,2,40,120,-3.0,0.1,5,0.7765433414124183
228,4,50,140,-2.0,1.0,4,0.8706143817123027
229,2,30,130,-3.0,0.1,4,0.8666881938964941
230,5,60,120,-2.0,1.0,4,0.8043136783843331
231,7,30,90,-3.0,0.5,2,0.9571773975028501
232,10,60,100,-3.0,0.5,3,0.8626201571922664
233,6,40,100,-3.0,0.5,3,0.8572303929157185
234,4,30,110,-2.0,0.5,5,0.802335847473622
235,5,50,130,-3.0,0.1,4,0.8601820744148505
237,8,50,150,-3.0,0.1,2,0.8781864463607121
238,9,40,120,-3.0,0.1,4,0.8822586016196858
239,8,60,100,-2.0,1.0,2,0.8202893309604469
240,9,50,130,-2.0,0.5,3,0.8805740540070643
241,6,60,140,-3.0,0.5,3,0.8272984905964043
242,3,50,90,-3.0,0.1,5,0.7766082453620144
243,6,50,130,-2.0,0.5,3,0.9153859866778193
244,6,30,150,-2.0,1.0,5,0.791135449806174
245,10,40,140,-2.0,1.0,2,0.9209204632476504
246,3,30,100,-2.0,0.5,2,0.9574291121990204
247,7,40,100,-3.0,0.5,4,0.8920137930093244
248,6,20,150,-3.0,0.1,2,0.9169347991604487
249,5,50,140,-3.0,0.5,3,0.8756814245530744
251,9,40,130,-3.0,1.0,5,0.8835775313717135
252,5,50,130,-3.0,1.0,5,0.8781821821428983
253,8,40,110,-3.0,0.5,5,0.8238544173272642
254,7,40,110,-2.0,0.5,2,0.9034443913007981
255,5,60,100,-2.0,0.5,5,0.8327476566378079
256,2,40,150,-3.0,0.5,5,0.8487421095572156
257,10,60,130,-3.0,0.5,5,0.8052017038944139
258,9,20,90,-3.0,1.0,2,0.9326451415983926
259,3,40,100,-2.0,0.1,3,0.8904790788273784
260,5,50,110,-2.0,0.1,4,0.8749204876824874
261,9,60,120,-2.0,0.5,4,0.8056231960323612
262,9,50,130,-3.0,1.0,4,0.6017179006756764
263,3,20,120,-3.0,1.0,5,0.8315856230119634
264,2,30,140,-3.0,0.1,4,0.821727285969897
265,6,60,100,-2.0,1.0,2,0.8102919609682285
266,4,30,90,-2.0,0.5,5,0.8185404358949647
267,6,20,100,-2.0,1.0,2,0.9662121512800566
268,7,20,100,-2.0,0.5,2,0.9571845740188387
269,9,40,140,-3.0,1.0,5,0.8885077018986872
270,8,60,120,-2.0,0.1,2,0.851354060594338
271,5,60,140,-3.0,1.0,5,0.8639434311052181
272,4,20,90,-3.0,0.5,3,0.9152323497866466
273,2,20,150,-3.0,0.1,5,0.7276364423572208
274,9,30,100,-3.0,0.1,4,0.8845695798086133
275,4,40,90,-3.0,0.1,3,0.8835946177815457
276,10,60,140,-2.0,0.1,3,0.7746403258375247
277,3,20,140,-2.0,1.0,5,0.8972692497251387
278,4,40,100,-2.0,0.5,5,0.7191445919804833
279,6,40,90,-2.0,0.1,3,0.8593649928638043
280,4,30,130,-3.0,0.1,4,0.8798435364760027
281,9,30,110,-3.0,0.5,4,0.8674132985486023
282,7,30,90,-2.0,0.1,3,0.8947724982692237
283,9,50,100,-3.0,1.0,4,0.8569531474603065
284,4,60,140,-2.0,0.1,4,0.8424991340877448
285,7,30,140,-3.0,1.0,5,0.7679728776263094
286,3,50,110,-2.0,0.1,5,0.849864866208389
287,7,20,100,-2.0,1.0,5,0.7392904212825592
288,2,40,120,-2.0,0.5,5,0.836180849123063
289,7,50,90,-3.0,0.1,5,0.8676218999486114
290,3,60,150,-3.0,0.1,5,0.9033024399910943
291,7,30,110,-3.0,0.5,2,0.9574266467400252
292,10,30,110,-2.0,1.0,2,0.9365611131180875
293,7,40,110,-3.0,0.5,4,0.868514856953698
294,4,60,100,-3.0,1.0,4,0.85577485509523
295,5,20,130,-3.0,0.1,4,0.8632839647045086
296,10,60,110,-2.0,0.5,5,0.840556209000306
297,10,30,120,-2.0,1.0,2,0.9404736189957723
298,5,60,100,-3.0,1.0,5,0.8586221271919797
299,10,50,150,-2.0,1.0,5,0.8324568669389661
300,2,30,90,-3.0,0.5,4,0.8917921840556892
301,3,40,120,-3.0,1.0,3,0.8694879178813015
302,5,20,110,-2.0,1.0,4,0.9190870528160122
303,5,60,130,-3.0,1.0,5,0.8707177702390612
304,3,60,140,-3.0,1.0,3,0.8440827075591741
305,3,20,90,-3.0,0.5,5,0.8924830779359494
306,9,60,140,-3.0,0.1,3,0.8587113358940124
307,6,30,130,-3.0,0.5,5,0.8407864301304588
308,3,20,140,-2.0,0.1,3,0.8648433468713949
309,5,60,130,-3.0,0.1,3,0.8581878435080112
310,7,50,90,-2.0,0.1,3,0.8383997835367076
311,7,60,100,-2.0,0.5,3,0.8168546262750018
312,7,20,90,-2.0,0.5,2,0.95290821841964
313,7,50,150,-2.0,0.5,5,0.7876519980652834
314,5,40,90,-3.0,0.5,4,0.8182463476472912
315,5,20,150,-3.0,0.1,4,0.8638422545982765
316,10,30,100,-3.0,1.0,2,0.9625110851141462
317,4,50,130,-2.0,1.0,4,0.8720314107264229
318,3,20,130,-2.0,0.1,3,0.8468964087201274
319,9,20,110,-3.0,0.5,5,0.759568764192256
320,4,40,100,-3.0,0.5,3,0.8822498525871999
321,10,20,150,-3.0,0.5,5,0.7861221425082421
322,7,60,120,-2.0,0.5,3,0.6509968752632587
323,9,30,130,-3.0,0.1,3,0.8666790072078947
324,6,40,110,-3.0,1.0,4,0.8899818042275868
325,4,60,150,-2.0,1.0,5,0.9058749073590087
326,2,20,140,-3.0,0.5,5,0.7782308216496758
327,3,50,130,-3.0,0.5,3,0.750551724478384
328,7,30,90,-2.0,0.5,3,0.8461819890696162
329,5,40,120,-3.0,0.5,4,0.7914799176883408
330,8,40,120,-3.0,1.0,2,0.9023386976733241
331,5,30,150,-3.0,1.0,4,0.9029885979150123
332,5,50,140,-2.0,0.1,4,0.8514262642482788
333,6,60,90,-2.0,0.5,2,0.7123573858649278
334,4,60,100,-3.0,0.5,4,0.8871392359961792
335,4,20,110,-2.0,0.1,5,0.8134716107454926
336,2,20,100,-2.0,1.0,4,0.8055114057275485
337,4,40,100,-2.0,1.0,5,0.7613520290813116
338,8,60,90,-2.0,1.0,2,0.7805325965525973
339,5,20,110,-3.0,0.1,2,0.9003874890140859
340,10,50,100,-2.0,0.5,4,0.6802104519580517
341,9,50,150,-3.0,1.0,4,0.78092362856625
342,3,50,90,-3.0,0.5,3,0.798199397068158
343,8,60,140,-3.0,0.5,5,0.8422941936743761
344,7,50,150,-3.0,0.1,4,0.8472011911822372
345,8,30,140,-3.0,0.1,5,0.8414762028198606
346,2,40,110,-3.0,1.0,5,0.7886703749478967
347,2,40,110,-2.0,0.1,5,0.6886112706591112
348,5,30,90,-2.0,0.1,2,0.7918032322084994
349,2,30,140,-2.0,1.0,5,0.8532542596318724
350,2,60,90,-2.0,0.1,5,0.745150877622421
351,2,50,120,-2.0,0.1,5,0.8718045447018968
352,10,20,120,-2.0,0.1,5,0.834200736948701
353,3,30,140,-2.0,0.1,5,0.8381490188734635
354,4,40,130,-3.0,1.0,4,0.927699172488305
355,7,20,140,-2.0,0.5,5,0.6542978573662331
356,6,20,140,-2.0,0.1,5,0.8679465631511891
357,3,40,90,-3.0,1.0,5,0.8742482388167363
358,2,60,120,-2.0,0.1,5,0.7522918557216873
359,5,40,110,-2.0,1.0,2,0.961610346392826
360,8,60,110,-3.0,0.1,3,0.8827996375222066
361,5,40,90,-2.0,1.0,5,0.6881719028376637
362,8,30,100,-2.0,1.0,3,0.8963320331506426
363,4,60,90,-3.0,1.0,4,0.8688213604667541
364,2,50,90,-2.0,0.1,5,0.8386982568378721
365,3,20,90,-2.0,1.0,5,0.8026857096018367
366,2,50,150,-3.0,0.5,5,0.8217157632241672
367,10,20,90,-3.0,0.5,4,0.8764366747183827
368,5,40,140,-3.0,0.1,3,0.8636035117798306
369,3,30,140,-3.0,0.1,5,0.8518648172144134
370,4,60,110,-2.0,0.1,4,0.8324493908450208
371,8,20,100,-3.0,0.1,5,0.8350737774880617
372,9,40,90,-2.0,1.0,2,0.9404736189957723
374,3,50,130,-2.0,1.0,5,0.6932472049157197
375,4,40,110,-2.0,0.5,5,0.8159925430114974
376,9,40,120,-2.0,0.5,3,0.6701404869720429
377,5,60,150,-2.0,1.0,2,0.9265536705591704
378,5,40,120,-2.0,0.5,2,0.9865052370308331
379,6,60,130,-2.0,0.5,5,0.7196047752522357
380,8,30,120,-2.0,1.0,3,0.8581706799017174
381,2,50,100,-3.0,0.1,5,0.8898637541865533
382,3,40,100,-2.0,1.0,4,0.8603611033939532
383,5,30,90,-3.0,0.1,3,0.8409994266976799
384,6,60,150,-2.0,0.5,2,0.8363836395774689
385,10,20,100,-3.0,0.5,2,0.8576793039848271
387,9,30,130,-3.0,1.0,5,0.8823966460430843
388,7,40,120,-2.0,0.1,4,0.8468237317671075
389,2,30,150,-3.0,0.5,2,0.910181592244996
390,5,60,90,-2.0,0.1,4,0.8616013341115292
391,8,40,130,-2.0,0.1,2,0.9045195969321456
392,6,20,120,-2.0,0.1,5,0.8728484701447754
393,5,60,110,-3.0,0.1,3,0.8207459744470523
394,3,40,120,-3.0,0.1,5,0.8392199465582498
396,6,30,90,-2.0,0.5,5,0.8311712900482422
397,7,30,120,-3.0,1.0,2,0.9617020258200304
398,7,60,150,-2.0,0.1,4,0.7892299695969943
399,2,60,140,-2.0,0.1,5,0.8481469898859297
